"","Player","Points","FD_Salary"
"11","Mariota, Marcus","27.92","$7,600"
"12","Ryan, Matt","27.76","$8,600"
"13","Rodgers, Aaron","27.18","$9,100"
"14","Taylor, Tyrod","26.86","$7,200"
"15","Wilson, Russell","26.28","$7,800"
"16","Brees, Drew","24.72","$8,600"
"17","Manning, Eli","23.88","$7,500"
"18","Prescott, Dak","23.88","$7,600"
"19","Kaepernick, Colin","23.22","$7,200"
"20","Bortles, Blake","22.48","$7,300"
"21","Winston, Jameis","21.84","$7,700"
"22","Roethlisberger, Ben","19.86","$7,500"
"23","Rivers, Philip","18.7","$8,300"
"24","Siemian, Trevor","16.32","$7,200"
"25","Bradford, Sam","15.92","$7,400"
"26","Flacco, Joe","15.84","$7,500"
"27","Stafford, Matthew","15.76","$7,400"
"28","Keenum, Case","14.84","$6,300"
"29","Luck, Andrew","14.74","$8,000"
"30","Newton, Cam","14.6","$8,100"
"31","Kessler, Cody","13.22","$6,000"
"32","Fitzpatrick, Ryan","12.32","$7,400"
"33","Wentz, Carson","12.16","$6,900"
"34","Foles, Nick","11.18","$6,800"
"35","Tannehill, Ryan","9.66","$7,300"
"36","Glennon, Mike","9","$5,800"
"37","Carr, Derek","7.66","$7,700"
"38","Petty, Bryce","0.76","$5,000"
"39","Mallett, Ryan","0.36","$6,000"
"40","Sanchez, Mark","0.12","$5,000"
"41","Webb, Joe","0","$5,000"
"42","Clemens, Kellen","0","$5,000"
"43","Schaub, Matt","-0.2","$6,000"
"46","Gordon, Melvin","34.1","$7,800"
"47","Murray, Latavius","31.2","$6,000"
"48","Ingram, Mark","30.1","$6,700"
"49","Elliott, Ezekiel","22.2","$9,200"
"50","Harris, DuJuan","20.7","$4,500"
"51","Ajayi, Jay","20.5","$7,100"
"52","Gore, Frank","20.1","$6,300"
"53","Murray, DeMarco","17.5","$8,100"
"54","Hightower, Tim","16.7","$6,100"
"55","Forte, Matt","16.2","$7,500"
"56","Bibbs, Kapri","14.5","$4,500"
"57","McCoy, LeSean","14","$7,400"
"58","Yeldon, T.J.","13","$5,600"
"59","Freeman, Devonta","11.5","$7,600"
"60","Montgomery, Ty","10.6","$6,500"
"61","Gillislee, Mike","10.6","$5,900"
"62","Bell, Le'Veon","10","$8,700"
"63","Gurley, Todd","9.4","$7,600"
"64","Ivory, Chris","9.2","$5,000"
"65","West, Charcandrick","8.9","$5,600"
"66","Crowell, Isaiah","8.7","$6,000"
"67","Sproles, Darren","8.6","$4,800"
"68","Richard, Jalen","8.2","$5,000"
"69","Riddick, Theo","8.1","$6,600"
"70","Mathews, Ryan","8","$5,300"
"71","Barber, Peyton","7.5","$5,300"
"72","Powell, Bilal","7.1","$5,400"
"73","Drake, Kenyan","7.1","$4,500"
"74","Cunningham, Benny","6.7","$4,500"
"75","Hillman, Ronnie","6.7","$4,500"
"76","DiMarco, Patrick","6.6","$4,500"
"77","Barner, Kenjon","6.3","$4,600"
"78","Perkins, Paul","6.2","$4,500"
"79","Michael, Christine","6.1","$7,500"
"80","Todman, Jordan","6","$4,500"
"81","Williams, Damien","5.9","$4,500"
"82","Johnson, Duke","5.6","$5,200"
"83","Morris, Alfred","5.6","$4,600"
"84","Jennings, Rashad","5.4","$5,400"
"85","Asiata, Matt","5.1","$6,000"
"86","Smith, Antone","4.7","$5,400"
"87","Stewart, Jonathan","4.2","$6,400"
"88","Washington, DeAndre","4","$5,200"
"89","Booker, Devontae","3.5","$7,000"
"91","Turbin, Robert","3.3","$4,500"
"92","West, Terrance","3.2","$6,400"
"93","Bush, Reggie","3.2","$5,200"
"94","Ward, Terron","3","$5,100"
"95","Washington, Dwayne","2.6","$4,500"
"96","Smallwood, Wendell","2.5","$4,800"
"97","Farrow, Kenneth","2.4","$4,500"
"98","Kuhn, John","2.4","$4,500"
"99","Dixon, Kenneth","2.3","$4,900"
"100","Davis, Knile","2.2","$5,500"
"101","Prosise, C.J.","2","$4,700"
"102","Jackson, Don","1.6","$5,500"
"103","Andrews, Antonio","1.5","$4,500"
"104","Ferguson, Josh","1.4","$4,500"
"105","Ripkowski, Aaron","1.2","$4,500"
"106","Sherman, Anthony","1.1","$4,500"
"107","Cadet, Travaris","0.9","$4,500"
"108","McKinnon, Jerick","0.8","$6,200"
"109","Ridley, Stevan","0.7","$4,500"
"110","Whittaker, Fozzy","0.6","$4,700"
"111","Davis, Mike","0.5","$4,900"
"112","Olawale, Jamize","0.4","$4,500"
"113","Felton, Jerome","0.2","$4,500"
"114","Juszczyk, Kyle","0.2","$4,500"
"115","Williams, DeAngelo","0.1","$4,900"
"116","Tolbert, Mike","0.1","$4,500"
"117","Dunbar, Lance","0","$4,500"
"118","Tukuafu, Will","0","$4,500"
"119","Burton, Michael","0","$4,500"
"120","Line, Zach","0","$4,500"
"121","Darkwa, Orleans","0","$4,600"
"122","Robinson, Denard","0","$4,500"
"123","Brown, Malcolm","0","$4,500"
"124","Reynolds, Chase","0","$4,500"
"125","Spiller, C.J.","0","$4,600"
"126","Rainey, Bobby","0","$4,600"
"127","Allen, Javorius","0","$4,700"
"128","Zenner, Zach","0","$5,100"
"129","Watt, Derek","0","$4,500"
"130","Thompson, Juwan","0","$4,500"
"131","Atkinson, George","0","$4,500"
"132","Draughn, Shaun","0","$4,700"
"133","Jones, Taiwan","0","$4,500"
"134","Collins, Alex","0","$4,500"
"135","Taliaferro, Lorenzo","0","$4,500"
"136","Williams, Jonathan","0","$4,500"
"137","Janovich, Andy","0","$4,500"
"138","Fowler, Jalston","0","$4,500"
"139","Toussaint, Fitzgerald","0","$4,500"
"142","Evans, Mike","32.5","$8,300"
"143","Thomas, Michael","21.8","$5,800"
"144","Matthews, Rishard","21.3","$5,400"
"145","Woods, Robert","21.2","$5,400"
"146","Jones, Julio","21.1","$9,000"
"147","Wallace, Mike","20.4","$6,600"
"148","Tate, Golden","19.5","$6,400"
"149","Nelson, Jordy","18.9","$8,200"
"150","Beckham Jr., Odell","18.6","$8,900"
"151","Brown, Antonio","18","$8,700"
"152","Robinson, Allen","17.1","$6,700"
"153","Gabriel, Taylor","16.1","$4,600"
"154","Diggs, Stefon","15.7","$6,500"
"155","Williams, Tyrell","15.5","$5,600"
"156","Beasley, Cole","14.6","$6,300"
