"","Player","Points","FD_Salary"
"11","Brady, Tom","30.78","$9,200"
"12","Wentz, Carson","25.82","$7,300"
"13","Siemian, Trevor","23.64","$6,600"
"14","Brees, Drew","22.24","$8,700"
"15","Carr, Derek","21.2","$8,300"
"16","Rodgers, Aaron","19.52","$9,100"
"17","Prescott, Dak","17.92","$7,700"
"18","Watson, Deshaun","17.7","$6,700"
"19","Roethlisberger, Ben","17.52","$8,000"
"20","Rivers, Philip","17.24","$7,000"
"21","Palmer, Carson","16.88","$7,500"
"22","Smith, Alex","16.14","$7,200"
"23","McCown, Josh","15.74","$6,400"
"24","Flacco, Joe","15.58","$7,000"
"25","Wilson, Russell","15.32","$8,100"
"26","Ryan, Matt","14.88","$8,200"
"27","Mariota, Marcus","14","$7,900"
"28","Stafford, Matthew","13.18","$7,900"
"29","Cutler, Jay","13.1","$6,900"
"30","Manning, Eli","12.56","$7,200"
"31","Winston, Jameis","12.46","$7,800"
"32","Goff, Jared","12.06","$6,500"
"33","Glennon, Mike","12.04","$6,600"
"34","Cousins, Kirk","11.86","$7,700"
"35","Newton, Cam","11.82","$7,800"
"36","Bortles, Blake","11.82","$7,100"
"37","Taylor, Tyrod","10.5","$7,400"
"38","Brissett, Jacoby","9.84","$6,400"
"39","Dalton, Andy","9.46","$7,000"
"40","Hogan, Kevin","8.22","$6,000"
"41","Keenum, Case","6.68","$6,000"
"42","Kizer, DeShone","4.88","$6,800"
"43","Hoyer, Brian","2.96","$6,300"
"44","Webb, Joe","0","$6,000"
"45","Fitzpatrick, Ryan","-0.2","$6,000"
"48","Anderson, C.J.","28.9","$7,000"
"49","Montgomery, Ty","26","$6,500"
"50","Gurley, Todd","25.1","$7,700"
"51","Hunt, Kareem","24.4","$7,800"
"52","Thompson, Chris","24.1","$5,500"
"53","Freeman, Devonta","23","$8,100"
"54","Allen, Javorius","18.6","$4,900"
"55","Richard, Jalen","17.9","$5,300"
"56","Gordon, Melvin","17.3","$7,600"
"57","Hyde, Carlos","15.8","$6,400"
"58","Henry, Derrick","15.2","$5,500"
"59","White, James","13.6","$5,700"
"60","Ajayi, Jay","13.6","$7,900"
"61","Fournette, Leonard","13.1","$7,600"
"62","Gillislee, Mike","12.9","$6,700"
"63","Rodgers, Jacquizz","12.7","$6,600"
"64","Burkhead, Rex","11.9","$5,000"
"65","West, Terrance","11.5","$6,600"
"66","Coleman, Tevin","11.5","$5,700"
