"","Player","Points","FD_Salary"
"11","Roethlisberger, Ben","28.74","$8,000"
"12","Wentz, Carson","28.24","$8,600"
"13","Prescott, Dak","26.58","$7,700"
"14","Hundley, Brett","25.7","$6,900"
"15","Wilson, Russell","24.84","$7,700"
"16","Cutler, Jay","22.92","$6,600"
"17","Trubisky, Mitchell","21.34","$6,600"
"18","Keenum, Case","21.2","$7,500"
"19","Rivers, Philip","20.76","$8,100"
"20","Kizer, DeShone","19.26","$6,400"
"21","Bortles, Blake","18.52","$7,400"
"22","Yates, T.J.","18.1","$6,000"
"23","Brees, Drew","18.04","$8,000"
"24","Flacco, Joe","17.76","$6,600"
"25","Stafford, Matthew","17.24","$8,000"
"26","Winston, Jameis","16.4","$7,200"
"27","Garoppolo, Jimmy","16.06","$7,000"
"28","Newton, Cam","15.48","$7,700"
"29","Goff, Jared","14.16","$7,700"
"30","Siemian, Trevor","13.3","$6,000"
"31","Carr, Derek","12.44","$7,700"
"32","Smith, Alex","12.12","$8,200"
"33","Brady, Tom","11.32","$9,500"
"34","Manning, Eli","11.12","$6,000"
"35","Cousins, Kirk","9.84","$7,500"
"36","Ryan, Matt","9.84","$7,900"
"37","Dalton, Andy","8.64","$7,300"
"38","Gabbert, Blaine","8.32","$6,600"
"39","Brissett, Jacoby","7.76","$6,700"
"40","Peterman, Nathan","7.28","$6,100"
"41","Mariota, Marcus","5.46","$7,500"
"42","Webb, Joe","3.1","$6,000"
"43","Foles, Nick","2.58","$6,000"
"44","Savage, Tom","2.52","$6,000"
"45","McCarron, A.J.","1.88","$6,000"
"46","Petty, Bryce","1.26","$6,000"
"47","McCown, Josh","-0.46","$7,600"
"48","Clemens, Kellen","-0.88","$6,000"
"51","Bell, Le'Veon","35","$8,800"
"52","Smith, Rod","30.5","$5,400"
"53","Stewart, Jonathan","28.3","$5,300"
"54","Howard, Jordan","28","$7,000"
"55","Williams, Jamaal","27.3","$6,600"
"56","Gurley, Todd","27","$8,500"
"57","Riddick, Theo","24.3","$5,600"
"58","Collins, Alex","23.6","$6,000"
"59","Drake, Kenyan","21.8","$6,200"
"60","McCoy, LeSean","21.6","$9,000"
"61","Hunt, Kareem","21.3","$7,200"
"62","Fournette, Leonard","19.9","$8,300"
"63","Allen, Javorius","18.7","$5,500"
"64","Bernard, Giovani","16","$5,100"
"65","Freeman, Devonta","15.1","$6,700"
"66","Gordon, Melvin","14.8","$8,600"
"67","Crowell, Isaiah","14.6","$5,500"
"68","Gore, Frank","14.5","$5,500"
"69","Burkhead, Rex","13.8","$6,400"
"70","Hyde, Carlos","13.8","$6,700"
"71","Gallman, Wayne","13.4","$5,000"
"72","Lynch, Marshawn","12.9","$6,400"
"73","Johnson, Duke","12.9","$5,900"
"74","Ingram, Mark","11.2","$8,200"
"75","Morris, Alfred","10","$6,800"
"76","Martin, Doug","10","$6,100"
"77","Cohen, Tarik","9.5","$5,400"
"78","Williams, Kerwynn","9.3","$5,000"
"79","Lewis, Dion","9.2","$6,500"
"80","White, James","8.6","$4,900"
"81","Ajayi, Jay","8.5","$5,800"
"82","West, Charcandrick","8.5","$5,000"
"83","Anderson, C.J.","8.3","$5,500"
"84","Henry, Derrick","8","$6,000"
"85","Juszczyk, Kyle","7.9","$4,500"
"86","Perine, Samaje","7.2","$6,600"
"87","Davis, Mike","7","$5,500"
"88","Miller, Lamar","7","$6,600"
"89","Barber, Peyton","6.8","$5,500"
"90","McCaffrey, Christian","6.8","$6,800"
"92","McKinnon, Jerick","6.5","$6,000"
"93","Vereen, Shane","6.2","$4,900"
"94","Janovich, Andy","6.1","$4,500"
"95","McKissic, J.D.","6","$5,000"
"96","Murray, DeMarco","5.7","$6,000"
"97","Clement, Corey","5.7","$5,300"
"98","Woodhead, Danny","5.6","$5,200"
"99","Darkwa, Orleans","5.4","$6,300"
"100","Mack, Marlon","5.4","$5,400"
"101","Ekeler, Austin","4.9","$5,300"
"102","Ivory, Chris","4.8","$4,900"
"103","Forte, Matt","4.4","$5,700"
"104","Booker, Devontae","4.4","$5,800"
"105","Kamara, Alvin","4.2","$9,200"
"106","Sims, Charles","3.7","$4,800"
"107","Powell, Bilal","3.5","$5,700"
"108","Penny, Elijhaa","3.4","$4,500"
"109","Blount, LeGarrette","3.3","$5,800"
"110","Coleman, Tevin","3.2","$6,700"
"111","Murray, Latavius","3","$6,400"
"112","Ellington, Andre","2.7","$5,300"
"113","Breida, Matt","2.7","$4,900"
"114","Charles, Jamaal","2.7","$4,800"
"115","Cunningham, Benny","2.4","$4,500"
"116","Washington, DeAndre","2.4","$4,800"
"117","Foster, D.J.","2.3","$4,500"
"118","Williams, Andre","2.3","$4,500"
"119","Green, Tion","1.5","$5,400"
"120","Hill, Brian","1.5","$4,500"
"121","Ham, C.J.","1.4","$4,500"
"122","Daniels Jr., LeShun","1.2","$4,500"
"123","Tolbert, Mike","1.2","$4,500"
"124","Yeldon, T.J.","0.9","$5,000"
"125","Smith, Keith","0.8","$4,500"
"126","Develin, James","0.7","$4,500"
"127","Conner, James","0.6","$4,500"
"128","Vitale, Dan","0.6","$4,500"
"129","Brown, Malcolm","0.5","$4,500"
"130","Cadet, Travaris","0.2","$4,500"
"131","Watt, Derek","0.2","$4,500"
"132","Rodgers, Jacquizz","0","$5,100"
"133","Burton, Michael","0","$4,500"
"134","Marshall, Byron","0","$4,500"
"135","Ferguson, Josh","0","$4,500"
"136","Line, Zach","0","$4,500"
"137","Artis-Payne, Cameron","0","$4,500"
"138","Ward, Terron","0","$4,600"
"139","Todman, Jordan","0","$4,500"
"140","Dayes, Matthew","0","$4,500"
"141","Barner, Kenjon","0","$4,600"
