"","Player","Points","FD_Salary"
"11","Rivers, Philip","26.22","$7,400"
"12","Bradford, Sam","24.2","$7,100"
"13","Brees, Drew","22.36","$8,400"
"14","McCown, Josh","22.24","$6,400"
"15","Cousins, Kirk","21.7","$6,100"
"16","Manning, Eli","19.28","$7,800"
"17","Bortles, Blake","19.02","$6,800"
"18","Foles, Nick","18.74","$6,300"
"19","Dalton, Andy","18.44","$7,600"
"20","Cutler, Jay","18.24","$7,200"
"21","Smith, Alex","17.94","$6,500"
"22","Hoyer, Brian","17.28","$6,300"
"23","Palmer, Carson","16.98","$8,200"
"24","Winston, Jameis","16.68","$6,400"
"25","Rodgers, Aaron","16.26","$9,200"
"26","Newton, Cam","16.06","$8,300"
"27","Wilson, Russell","15.48","$8,200"
"28","Taylor, Tyrod","15.46","$7,600"
"29","Hasselbeck, Matt","15.38","$4,800"
"30","Fitzpatrick, Ryan","15.12","$6,900"
"31","Bridgewater, Teddy","15.06","$6,500"
"32","Carr, Derek","14.84","$7,000"
"33","Weeden, Brandon","14.34","$6,400"
"34","Tannehill, Ryan","14.32","$7,700"
"35","Ryan, Matt","14.14","$8,400"
"36","Vick, Michael","12.26","$6,700"
"37","Kaepernick, Colin","11.1","$7,500"
"38","Manning, Peyton","10.32","$8,200"
"39","Flacco, Joe","8.56","$8,000"
"40","Stafford, Matthew","8.12","$7,000"
"41","Mallett, Ryan","5","$6,300"
"42","McCown, Luke","0","$5,800"
"43","Webb, Joe","0","$4,800"
"44","Renfree, Sean","-0.4","$4,800"
"47","Freeman, Devonta","35.4","$7,200"
"48","Bell, Le'Veon","24.5","$8,900"
"49","Hill, Jeremy","24","$6,700"
"50","Martin, Doug","22.8","$6,400"
"51","Ivory, Chris","22.6","$6,900"
"52","Johnson, Duke","22.1","$5,400"
"53","Spiller, C.J.","19.4","$5,500"
"54","Charles, Jamaal","17.5","$8,700"
"55","Peterson, Adrian","17.4","$9,000"
"56","Hillman, Ronnie","17.3","$6,300"
"57","Gurley, Todd","17.1","$5,900"
"58","Jennings, Rashad","16.2","$6,000"
"59","Woodhead, Danny","15.8","$6,100"
"60","Ingram, Mark","15.8","$8,100"
"61","Forte, Matt","15.5","$8,300"
"62","Ward, Terron","15.5","$4,500"
"63","Forsett, Justin","15","$6,700"
"64","Williams, Karlos","14.5","$6,300"
"65","Johnson, David","14.1","$5,500"
"66","Crowell, Isaiah","14","$6,400"
"67","Sims, Charles","12.8","$5,700"
"68","Polk, Chris","12.5","$5,100"
"69","Bernard, Giovani","12.2","$6,700"
"70","Yeldon, T.J.","11.9","$6,400"
"71","Johnson, Chris","10.9","$6,700"
"72","Helu, Roy","10.5","$5,400"
"73","Lacy, Eddie","9.8","$7,800"
"74","Stacy, Zac","9.5","$5,000"
"75","Gore, Frank","9.2","$7,300"
"76","Robinson, Khiry","9.1","$4,800"
"77","Thompson, Chris","8.7","$5,100"
"78","Randle, Joseph","8.6","$7,400"
"79","Anderson, C.J.","7.5","$6,900"
"80","Morris, Alfred","7.5","$6,200"
"81","Kuhn, John","7.4","$4,500"
"82","Jackson, Fred","6.4","$6,100"
"83","Riddick, Theo","6.1","$5,000"
"84","Murray, DeMarco","5.8","$7,600"
"85","Murray, Latavius","5.6","$7,500"
"86","Gordon, Melvin","5.6","$6,800"
"87","Williams, Andre","5.5","$5,400"
"88","Dunbar, Lance","5.4","$5,600"
"89","Abdullah, Ameer","5.4","$6,100"
"90","Rawls, Thomas","5.2","$6,000"
