"","Player","Points","FD_Salary"
"11","Ryan, Matt","36.52","$7,900"
"12","Roethlisberger, Ben","33.9","$8,400"
"13","Bortles, Blake","25.88","$7,700"
"14","Wilson, Russell","23.86","$8,400"
"15","Carr, Derek","23.76","$8,000"
"16","Flacco, Joe","22.02","$7,700"
"17","Rivers, Philip","19.84","$8,500"
"18","Hoyer, Brian","19.78","$6,000"
"19","Smith, Alex","18.68","$6,900"
"20","Luck, Andrew","18.66","$8,900"
"21","Cousins, Kirk","18.32","$7,600"
"22","Prescott, Dak","18.1","$7,200"
"23","Keenum, Case","18.04","$6,500"
"24","Osweiler, Brock","17.56","$7,300"
"25","Taylor, Tyrod","16.64","$7,600"
"26","Newton, Cam","15.6","$9,300"
"27","Bradford, Sam","15.08","$7,100"
"28","Anderson, Derek","14.88","$5,000"
"29","Dalton, Andy","14.64","$7,600"
"30","Brees, Drew","13.88","$8,600"
"31","Gabbert, Blaine","13.54","$6,400"
"32","Winston, Jameis","13.06","$7,100"
"33","Palmer, Carson","12.52","$8,000"
"34","Kessler, Cody","12.12","$6,300"
"35","Fitzpatrick, Ryan","11.94","$6,900"
"36","Lynch, Paxton","10.4","$5,500"
"37","Stafford, Matthew","10.22","$8,300"
"38","Manning, Eli","9.44","$7,500"
"39","Mariota, Marcus","9.08","$7,400"
"40","Tannehill, Ryan","8.56","$7,200"
"41","Brissett, Jacoby","8.5","$6,700"
"42","Siemian, Trevor","6.72","$7,400"
"43","Webb, Joe","0.8","$5,000"
"44","Jones, Landry","0","$5,500"
"45","Stanton, Drew","-0.52","$5,000"
"48","Murray, DeMarco","24.9","$7,300"
"49","Elliott, Ezekiel","22.2","$8,100"
"50","Crowell, Isaiah","21.7","$6,600"
"51","Gordon, Melvin","20.9","$7,600"
"52","Jones, Matt","20.8","$6,600"
"53","Bell, Le'Veon","20.3","$8,300"
"54","Kuhn, John","20.2","$4,500"
"55","McCoy, LeSean","19.8","$7,600"
"56","Ingram, Mark","19.5","$6,800"
"57","Gore, Frank","18","$6,100"
"58","Michael, Christine","17.5","$7,500"
"59","West, Terrance","17.3","$4,900"
"60","McKinnon, Jerick","17","$5,800"
"61","Howard, Jordan","14.7","$5,600"
"62","Hyde, Carlos","14.4","$6,800"
"63","Whittaker, Fozzy","13.7","$5,800"
"64","Yeldon, T.J.","13.7","$6,700"
"65","Freeman, Devonta","13.4","$7,200"
"66","Johnson, David","12.4","$8,700"
"67","Miller, Lamar","12.3","$8,200"
"68","Anderson, C.J.","11.7","$7,900"
"69","Thompson, Chris","11","$5,200"
"70","Powell, Bilal","11","$5,000"
"71","Darkwa, Orleans","10.8","$4,500"
"72","Gurley, Todd","10.7","$7,700"
"73","Rainey, Bobby","10","$4,800"
"74","Perkins, Paul","9","$4,500"
"75","Asiata, Matt","8.8","$5,700"
"76","White, James","8.7","$5,300"
"77","Spiller, C.J.","8.7","$4,500"
"78","Johnson, Duke","8.6","$5,400"
"79","Juszczyk, Kyle","8.6","$4,500"
"80","Ware, Spencer","8.1","$6,200"
"81","Riddick, Theo","7.8","$6,600"
"82","Williams, DeAngelo","7.4","$5,900"
"83","Blount, LeGarrette","7.3","$7,500"
"84","Hill, Jeremy","7.1","$7,000"
"85","Ferguson, Josh","6.6","$4,500"
"86","Bernard, Giovani","5.7","$5,500"
"87","Ajayi, Jay","5.6","$5,500"
"88","Forte, Matt","5.3","$6,900"
"89","Coleman, Tevin","4.8","$6,100"
"90","Gillislee, Mike","4.8","$4,900"
"91","Washington, DeAndre","4.1","$4,800"
"92","Zenner, Zach","3.9","$5,000"
"93","Allen, Javorius","3.8","$4,600"
"94","Rodgers, Jacquizz","3.4","$5,500"
"95","Murray, Latavius","3.4","$7,100"
"96","Johnson, Chris","3.4","$4,900"
"97","Morris, Alfred","3.4","$5,200"
"98","Booker, Devontae","3","$5,200"
"99","Ivory, Chris","2.9","$5,700"
"100","Blue, Alfred","2.8","$4,700"
"101","Dunbar, Lance","2.6","$4,900"
"102","Sims, Charles","2.5","$6,500"
"103","Bolden, Brandon","2.5","$4,700"
"104","Richard, Jalen","2.5","$4,900"
"105","Lasco, Daniel","2.4","$4,500"
"106","DiMarco, Patrick","2.3","$4,500"
"107","Davis, Knile","2.2","$4,500"
"109","McCluster, Dexter","2.1","$4,500"
"110","Williams, Damien","2","$4,900"
"111","Washington, Dwayne","1.9","$4,500"
"112","Pead, Isaiah","1.6","$4,500"
"113","Drake, Kenyan","1.5","$5,400"
"114","Turbin, Robert","1.5","$5,000"
"115","Bibbs, Kapri","1.4","$4,500"
"116","Draughn, Shaun","1.3","$4,800"
"117","Artis-Payne, Cameron","1.2","$5,700"
"118","Felton, Jerome","1.2","$4,500"
"119","Hightower, Tim","1.1","$4,700"
"120","Prosch, Jay","1.1","$4,500"
"121","Ellington, Andre","0.9","$4,600"
"122","Henry, Derrick","0.9","$5,000"
"123","Charles, Jamaal","0.7","$7,000"
"124","Line, Zach","0.6","$4,500"
"126","Tolbert, Mike","0.4","$4,900"
"127","Kelley, Rob","0.4","$4,800"
"128","Collins, Alex","0.1","$4,500"
"129","Mostert, Raheem","0","$4,500"
"130","Farrow, Kenneth","0","$4,500"
"131","Develin, James","0","$4,500"
"132","Burton, Michael","0","$4,500"
"133","Cadet, Travaris","0","$5,000"
"134","Burkhead, Rex","0","$4,500"
"135","Davis, Mike","0","$4,500"
"136","Grant, Corey","0","$4,500"
"137","Robinson, Denard","0","$4,500"
"138","Todman, Jordan","0","$4,500"
"139","Brown, Malcolm","0","$4,500"
"140","Reynolds, Chase","0","$4,500"
"141","Cunningham, Benny","0","$4,700"
"142","Taylor, Stepfan","0","$4,500"
"143","Andrews, Antonio","0","$4,500"
"144","Sherman, Anthony","0","$4,500"
"145","Watt, Derek","0","$4,500"
"146","Hewitt, Ryan","0","$4,500"
"147","Ervin, Tyler","0","$4,500"
"148","Atkinson, George","0","$4,500"
"149","Smith, Rod","0","$4,500"
"150","Janovich, Andy","0","$4,500"
"151","Fowler, Jalston","0","$4,500"
"152","Toussaint, Fitzgerald","0","$4,500"
"153","Olawale, Jamize","0","$4,500"
"154","Johnson, Malcolm","-0.2","$4,500"
"157","Jones, Julio","42","$8,500"
"158","Crabtree, Michael","30.3","$6,500"
"159","Green, A.J.","28.3","$8,100"
"160","Fuller, Will","23.6","$6,700"
"161","Inman, Dontrelle","21.5","$5,700"
"162","Smith, Steve","21.1","$6,100"
"163","Royal, Eddie","20.6","$5,500"
"164","Brown, Antonio","20.4","$9,400"
"165","Quick, Brian","19.9","$4,500"
"166","Brown, John","19.4","$6,200"
"167","Sanders, Emmanuel","18.8","$6,900"
"168","Thomas, Demaryius","18.4","$7,900"
"169","Kerley, Jeremy","17.8","$5,200"
"170","Marshall, Brandon","16.9","$7,500"
"171","Robinson, Allen","14","$8,300"
"172","Stills, Kenny","13.9","$5,100"
"173","Hilton, T.Y.","13.7","$7,600"
"174","Brown, Corey","13.3","$4,800"
"175","Dorsett, Phillip","13.2","$6,400"
"176","Butler, Brice","12.6","$4,500"
"177","Pryor, Terrelle","12.5","$7,000"
"178","Williams, Terrance","12.4","$4,600"
"179","Woods, Robert","12.4","$5,400"
"180","Thomas, Michael","12.4","$5,300"
"181","Robinson, Aldrick","11.8","$4,500"
"182","Hurns, Allen","11.7","$6,100"
"183","Wheaton, Markus","11.5","$5,800"
"184","Benjamin, Kelvin","11.4","$7,700"
"185","Floyd, Michael","11.1","$6,500"
"186","Coates, Sammie","10.8","$5,400"
"187","Hill, Tyreek","10.7","$4,500"
"189","Peake, Charone","10.5","$4,500"
"190","Maclin, Jeremy","10.3","$6,900"
"191","Britt, Kenny","10.2","$5,500"
"192","Conley, Chris","10","$4,800"
"193","Jones, Marvin","9.9","$7,600"
