"","Player","Points","FD_Salary"
"11","Smith, Alex","31.02","$6,900"
"12","Stafford, Matthew","28.08","$7,600"
"13","Bradford, Sam","25.54","$7,000"
"14","Siemian, Trevor","23.66","$6,700"
"15","Wentz, Carson","19.88","$7,100"
"16","Taylor, Tyrod","19.76","$7,500"
"17","Kizer, DeShone","19.58","$6,000"
"18","Mariota, Marcus","18.84","$7,800"
"19","Carr, Derek","18.68","$7,700"
"20","Rivers, Philip","18.68","$7,100"
"21","Ryan, Matt","17.94","$8,500"
"22","Rodgers, Aaron","17.54","$8,300"
"23","Prescott, Dak","17.12","$7,800"
"24","Roethlisberger, Ben","16.72","$8,200"
"25","Goff, Jared","16.44","$6,600"
"26","Brees, Drew","15.64","$8,600"
"27","Newton, Cam","14.14","$7,900"
"28","Glennon, Mike","12.52","$6,700"
"29","Palmer, Carson","11.96","$7,300"
"30","Cousins, Kirk","11.6","$8,100"
"31","McCown, Josh","11.48","$6,600"
"32","Brady, Tom","10.68","$8,900"
"33","Bortles, Blake","10.3","$7,200"
"34","Wilson, Russell","8.32","$8,000"
"35","Flacco, Joe","7.84","$6,900"
"36","Manning, Eli","7.7","$7,300"
"37","Watson, Deshaun","6.68","$6,500"
"38","Hoyer, Brian","4.22","$6,400"
"39","Tolzien, Scott","3.32","$6,000"
"40","Brissett, Jacoby","2.04","$6,000"
"41","Dalton, Andy","1","$7,400"
"42","Rudock, Jake","0","$6,000"
"43","Schaub, Matt","0","$6,000"
"44","Webb, Joe","0","$6,000"
"45","Trubisky, Mitchell","0","$6,300"
"46","Mannion, Sean","-0.22","$6,000"
"47","Savage, Tom","-1.52","$6,500"
"50","Hunt, Kareem","43.1","$6,400"
"51","Gillislee, Mike","22.5","$6,400"
"52","Cohen, Tarik","21.3","$4,500"
"53","Fournette, Leonard","19.9","$7,100"
"54","McCoy, LeSean","18.4","$8,500"
"55","Gurley, Todd","18.1","$7,300"
"56","Montgomery, Ty","17.3","$6,600"
"57","Elliott, Ezekiel","16.5","$8,700"
"58","Gordon, Melvin","16.4","$7,400"
"59","Cook, Dalvin","15.2","$6,500"
"60","Stewart, Jonathan","15.2","$6,100"
"61","Howard, Jordan","14.1","$7,500"
"62","West, Terrance","14","$6,400"
"63","Thompson, Chris","13.6","$5,400"
"64","Tolbert, Mike","11.9","$4,800"
"65","Riddick, Theo","11.6","$5,900"
"66","Blount, LeGarrette","11.2","$6,200"
"67","Mack, Marlon","11","$4,900"
"68","Freeman, Devonta","10.9","$8,300"
"69","Hyde, Carlos","10.7","$6,800"
"70","Miller, Lamar","10.6","$7,300"
"71","Johnson, David","10.1","$9,400"
"72","Lynch, Marshawn","9.7","$6,900"
"73","Vereen, Shane","9.6","$5,100"
"74","Crowell, Isaiah","9.6","$6,500"
"75","Ingram, Mark","9.6","$6,400"
"76","Anderson, C.J.","9.3","$7,200"
"77","McCaffrey, Christian","9","$6,500"
"78","West, Charcandrick","9","$5,000"
"79","Bernard, Giovani","8.4","$5,500"
"80","White, James","8.3","$5,600"
"81","Coleman, Tevin","7.8","$6,200"
"82","Williams, Kerwynn","7.7","$4,500"
"83","Brown, Malcolm","7.6","$4,500"
"84","Allen, Javorius","7.1","$4,700"
"85","Murray, DeMarco","7","$7,600"
"86","Sproles, Darren","7","$5,500"
"87","Bohanon, Tommy","6.6","$4,500"
"88","Powell, Bilal","6.4","$6,300"
"89","Bell, Le'Veon","6.2","$9,300"
"90","Kamara, Alvin","5.8","$4,700"
"91","Ivory, Chris","5.8","$4,900"
"92","Gore, Frank","5.7","$6,000"
"93","Abdullah, Ameer","5.6","$6,100"
"94","Carson, Chris","5.4","$4,500"
"95","Woodhead, Danny","5.2","$6,500"
"96","McKinnon, Jerick","5.2","$5,000"
"97","Forte, Matt","5.1","$6,000"
"98","Ervin, Tyler","4.6","$4,500"
"99","Ellington, Andre","4.5","$4,700"
