"","Player","Points","FD_Salary"
"11","Wentz, Carson","32.02","$7,800"
"12","Carr, Derek","30.18","$7,100"
"13","Prescott, Dak","29.96","$8,400"
"14","Wilson, Russell","26.36","$8,100"
"15","Smith, Alex","25.68","$7,600"
"16","McCown, Josh","25.46","$7,000"
"17","Cousins, Kirk","24.92","$7,500"
"18","Winston, Jameis","24.36","$7,600"
"19","Brees, Drew","21.14","$8,300"
"20","Taylor, Tyrod","20.02","$7,000"
"21","Goff, Jared","19.7","$7,300"
"22","Brady, Tom","18.46","$9,200"
"23","Ryan, Matt","17.02","$8,700"
"24","Roethlisberger, Ben","16.66","$7,200"
"25","Bortles, Blake","16.3","$7,200"
"26","Rivers, Philip","15.32","$6,900"
"27","Moore, Matt","14.52","$6,200"
"28","Beathard, C.J.","14.4","$6,300"
"29","Hundley, Brett","12.88","$6,500"
"30","Cutler, Jay","12.52","$6,500"
"31","Dalton, Andy","12.4","$7,300"
"32","Flacco, Joe","11.44","$6,800"
"33","Brissett, Jacoby","11.1","$6,900"
"34","Newton, Cam","9.44","$8,100"
"35","Mariota, Marcus","8.92","$8,200"
"36","Keenum, Case","7.42","$6,600"
"37","Manning, Eli","7.36","$6,500"
"38","Siemian, Trevor","6.68","$7,500"
"39","Trubisky, Mitchell","4.58","$6,300"
"40","Palmer, Carson","3.88","$7,000"
"41","Kessler, Cody","3.74","$6,000"
"42","Kizer, DeShone","2.56","$6,400"
"43","Stanton, Drew","1.88","$6,000"
"44","Rush, Cooper","1.38","$6,000"
"45","Cassel, Matt","0","$6,100"
"46","Webb, Joe","0","$6,000"
"47","Weeden, Brandon","0","$6,000"
"48","Davis, Austin","-0.1","$6,000"
"49","Mannion, Sean","-0.1","$6,000"
"52","Elliott, Ezekiel","40.4","$8,700"
"53","McCoy, LeSean","24.7","$7,900"
"54","Gurley, Todd","23.4","$8,400"
"55","Jones, Aaron","21.3","$6,700"
"56","Bell, Le'Veon","20.7","$9,700"
"57","Yeldon, T.J.","20.7","$4,500"
"58","Ingram, Mark","19","$7,100"
"59","Murray, Latavius","17.3","$5,600"
"60","Thompson, Chris","14.9","$6,200"
"61","Hunt, Kareem","13.7","$9,700"
"62","White, James","13.2","$4,800"
"63","Kamara, Alvin","13.2","$6,100"
"64","Ekeler, Austin","12.4","$4,500"
"65","Washington, DeAndre","11.5","$4,600"
"66","Hyde, Carlos","10.8","$6,700"
"67","Forte, Matt","10.7","$5,500"
"68","Freeman, Devonta","10.5","$7,800"
